GTNum,GTStn,CastType,Pump,StationType,CastNumber,Eventnumber,Latitudedegrees_north,Longitudedegrees_east,Bottomdepthm,DateatMidcastGMTyyyymmdd,TimeGMTatmidcasthhmm,TargetGTDepthm,CorrectedMeanDepthm,stddevDepthm,GP15featuredescription,VolumeQMAL,VolumeSuporL,VolumeFinalL,PumpError,overallpumpnotes,Qpprocessingnotes,Qprocessingnotes,Spprocessingnotes,Sprocessingnotes,Sr_SPT_pM,Y_SPT_pM,Mo_SPT_pM,Rh103LR_pM,Ag_SPT_pM,Cd_SPT_pM,In115LR_pM,Ba_SPT_pM,La_SPT_pM,Ce_SPT_pM,Pr_SPT_pM,Nd143_SPT_pM,Nd146_SPT_pM,Sm147_SPT_pM,Sm149_SPT_pM,Eu151_SPT_pM,Eu153_SPT_pM,Gd157_SPT_pM,Tb_SPT_pM,Gd160_SPT_pM,Dy_SPT_pM,Dy_SPT_pM1,Ho_SPT_pM,Er166_SPT_pM,Er167_SPT_pM,Tm_SPT_pM,Yb172_SPT_pM,Yb174_SPT_pM,Lu_SPT_pM,Pb_SPT_pM,Th_SPT_pM,U_SPT_pM,Al_SPT_pM,P_SPT_pM,Sc_SPT_pM,Ti_SPT_pM,V_SPT_pM,Cr_SPT_pM,Mn_SPT_pM,Fe_SPT_pM,Co_SPT_pM,Ni_SPT_pM,Cu_SPT_pM,Zn_SPT_pM,POC_SPT_uM,PN_SPT_uM,POC_LPT_uM,PN_LPT_uM,PIC_SPT_nM,PIC_LPT_nM,bSi_SPT_nM,bSi_LPT_nM,POC_13_12_SPT_permill,N_15_14_SPT_permil,POC_13_12_LPT_permil,N_15_14_LPT_permil,Sr_LPT_pM,Y_LPT_pM,Mo_LPT_pM,Rh103LR_pM1,Ag_LPT_pM,Cd_LPT_pM,In115LR_pM1,Ba_LPT_pM,La_LPT_pM,Ce_LPT_pM,Pr_LPT_pM,Nd143_LPT_pM,Nd146_LPT_pM,Sm147_LPT_pM,Sm149_LPT_pM,Eu151_LPT_pM,Eu153_LPT_pM,Gd157_LPT_pM,Tb_LPT_pM,Gd160_LPT_pM,Dy_LPT_pM,Dy_LPT_pM1,Ho_LPT_pM,Er166_LPT_pM,Er167_LPT_pM,Tm_LPT_pM,Yb172_LPT_pM,Yb174_LPT_pM,Lu_LPT_pM,Pb_LPT_pM,Th_LPT_pM,U_LPT_pM,Al_LPT_pM,P_LPT_pM,Sc_LPT_pM,Ti_LPT_pM,V_LPT_pM,Cr_LPT_pM,Mn_LPT_pM,Fe56_LPT_pM,Fe57_LPT_pM,Co_LPT_pM,Ni_LPT_pM,Cu_LPT_pM,Zn_LPT_pM,Al_SPT_pM_noneg,Al_LPT_pM_noneg,POM_SPT_ugL,POM_LPT_ugL,CaCO3_SPT_ugL,CaCO3_LPT_ugL,opal_SPT_ugL,opal_LPT_ugL,litho_SPT_ugL,litho_LPT_ugL,FeOH3_SPT_ugL,FeOH3_LPT_ugL,MnO2_SPT_ugL,MnO2_LPT_ugL,SPM_SPT_ugL,SPM_LPT_ugL,fPOM_SPT,fCaCO3_SPT,fopal_SPT,flitho_SPT,fFeOH3_SPT,fMnO2_SPT,fPOM_LPT,fCaCO3_LPT,fopal_LPT,flitho_LPT,fFeOH3_LPT,fMnO2_LPT,CP_SPT_molmol,CP_LPT_molmol,NP_SPT_molmol,NP_LPT_molmol,CN_SPT_molmol,CN_LPT_molmol,CdP_SPT_mmolmol,CdP_LPT_mmolmol,ZnP_SPT_mmolmol,ZnP_LPT_mmolmol,Cruise,Station,Depth,Latitude,Longitude,BotDepth,slitersBL,Sr86_SPL_pM,Y89_SPL_pM,Mo95_SPL_pM,Rh103_SPL_pM,Ag109_SPL_pM,Cd111_SPL_pM,In115_SPL_pM,Ba137_SPL_pM,La139_SPL_pM,Ce140_SPL_pM,Pr141_SPL_pM,Nd143_SPL_pM,Nd146_SPL_pM,Sm147_SPL_pM,Sm149_SPL_pM,Eu151_SPL_pM,Eu153_SPL_pM,Gd157_SPL_pM,Tb159_SPL_pM,Gd160_SPL_pM,Dy161_SPL_pM,Dy163_SPL_pM,Ho165_SPL_pM,Er166_SPL_pM,Er167_SPL_pM,Tm169_SPL_pM,Yb172_SPL_pM,Yb174_SPL_pM,Lu175_SPL_pM,Pb208_SPL_pM,Th232_SPL_pM,U238_SPL_pM,Al27_SPL_pM,P31_SPL_pM,Sc45_SPL_pM,Ti47_SPL_pM,V51_SPL_pM,Cr52_SPL_pM,Mn55_SPL_pM,Fe56_SPL_pM,Fe57_SPL_pM,Co59_SPL_pM,Ni60_SPL_pM,Cu63_SPL_pM,Zn66_SPL_pM,In115_SPL_pM_1
12944,8,M,3,2,8,6606,47,-151.9998,5130,10/5/18 5:45,10/5/18 5:45,1300,1301.4,1.2169,O2 minimum; highest nutrients 1000-1500m,987.1,379.4,1367,,,,,,Some dark specks on Supor from holder carryover? but no dark specks on P3S from station 8S,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,1,3,1,1,1,1,1,15,8,1301,47,-152,5130,379.4,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
12945,8,M,2,2,8,6606,47,-151.9998,5130,10/5/18 5:45,10/5/18 5:45,1700,1699.9,1.2169,0,1049.2,381.8,1437.5,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,3,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,1700,47,-152,5130,381.8,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
12946,8,M,1,2,8,6606,47,-151.9998,5130,10/5/18 5:45,10/5/18 5:45,1900,1902.8,1.2169,intercalibration depth--main PI; elevated He from P16 ~2000m (JdF?),1115.1,400.3,1582.8,,,,,,,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,6,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,1903,47,-152,5130,400.3,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
12988,8,D,8,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,1900,1891.4,0.6988,intercalibration sample for distribution; elevated He from P16 ~2000m (JdF?),1097.5,415.7,1547.6,,,"Qp: gave most large aggs to Pa/Th, some to Pb/Po",inter calibration: sampled as an intermediate cast,,inter calibration: sampled as an intermediate cast,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,1,1,1,1,9,9,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,9,1,1,1,1,1,9,9,9,1,9,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12989,8,D,7,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,2300,2292.4,0.6988,oldest water 2100-3000m,1176.8,456.6,1657.1,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,2292,47,-152,5130,456.6,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,6,1,1,1,1,1,1,6,6
12990,8,D,6,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,3000,2994.4,0.6988,oldest water 2100-3000m,985.1,333.44,1346.5,,,fewer large aggs - hard to subsample; gave 2 large aggs to Pa/Th,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,6,1,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,2994,47,-152,5130,333.44,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
12991,8,D,5,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,4000,3996.4,0.6988,0,1008.5,371.2,1406.3,,,"fewer large aggs, but aggs are 2 mm; Qp: gave 2 large aggs to Pa/Th",,"fewer large aggs, but aggs are 2 mm",,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,3996,47,-152,5130,371.2,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6
12992,8,D,4,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,4500,4497,0.6988,top of BNL (small decrease starts 4400m),985.1,299.7,1319.5,,,Huge dark green particles 3- 4 um! Hard to subsample; pTM: 1 big agg; protein: 1 big agg; eNd: no big agg),dark specks,only 150 um loaded; no 51 um,dark specks,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,4497,47,-152,5130,299.7,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6
12993,8,D,3,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,5000,4995.5,0.6988,top of main BNL (main decrease starts 4800m),1028.8,373.2,1402,,,"2 huge aggregates ~ 3 mm and more small ones. Give 1 large to Pa/Th, another to eNd/proteins.†",,,dark specks on Supor,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,4996,47,-152,5130,373.2,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6
12994,8,D,2,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,5050,5046.8,0.6988,"small BNL, bottom-80",1161.1,316.6,1493.1,,,"Huge dark aggs like above (i.e., GT12993), maybe more brown in Qp side; Sp side does not have them",,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,5047,47,-152,5130,316.6,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6
12995,8,D,1,2,11,6610,47,-151.9999,5130,10/6/18 4:10,10/6/18 4:10,5090,5088.15,0.6988,"small BNL, bottom-40",984.9,373.7,1424.8,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,8,5088,47,-152,5130,373.7,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,6
13115,10,S,8,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,40,39.92475248,1.125,MLD,720.6,321.2,1077.3,,,Qp was loaded on a C plate instead of B plate; some salmon colored goo on A plate and wingnuts,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,6,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,6,1,6,6,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,6,6,6,1,6,6,1,6,1,6,6,6,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,15,10,40,42,-152,5103,321.2,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,6,6,1,1,1,6,6
13116,10,S,7,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,60,59.88712871,1.125,very strong DCM and particle max,580.3,113.8,694.1,min flow reached,,Qp distribution not great; proteins w/ blank space to Pa/Th & eNd/proteins; give the poor distribution to Archive; big aggs to Pa/Th,,,"Processed 7s before 8s by mistake, but caught it before imaging & subsampling so photo & GTs correct; process order 8Q, 7S, 8S, 7Q",1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,6,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,1,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,6,1,6,6,1,6,1,1,6,6,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,15,10,60,42,-152,5103,113.8,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,6,6,1,1,1,1,6
13117,10,S,6,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,80,79.84950495,1.125,particle gradient,883.6,347.5,1258.9,,,,,,,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,6,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,6,1,6,6,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,15,10,80,42,-152,5103,347.5,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,6,1,6,1,6,6,1,1,1,6,6
13118,10,S,5,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,150,149.7178218,1.125,NPIW 150-500m from P16,1115.4,490.6,1614.2,,,Accidentally add RNA later to eNd cryovials so gave 2 Qp vials to proteins w/ RNA later (2* 1.2 mL cryovials of Qp w/RNA later: 2/16 + 3/16; gave archive 2/16 to eNd (no RNA later),,,,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,15,10,150,42,-152,5103,490.6,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,6,1,6,1,6,6,1,1,1,6,6
13119,10,S,4,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,225,224.5767327,1.125,NPIW 150-500m from P16,1064.7,417.1,1494.5,,,,,,,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,10,225,42,-152,5103,417.1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
13120,10,S,3,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,400,399.2475248,1.125,NPIW 150-500m from P16,1109.8,434.1,1540.8,,,"filmy aggs to Pa/Th (jelly?); Realized at the end of P2 that the Qp -> pTM Supors were 1 off -> 2 empty petri-slides left, but only one sample left. Based on the distribution on the 25 mm Supors, guess that we rinsed P3 and P2 onto the same Supor. This is labelled as GT13120Qp-possibly 13120+13121. Attempted to re-rinse the archive 2/16 from 13120Qp and 13121Qp. These had already been sitting in laminar flow so partly dried and hard to rinse but got them off. Pretty sure this was the mistake;†",,,,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,6,1,1,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,15,10,399,42,-152,5103,434.1,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
13121,10,S,2,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,600,598.8712871,1.125,0,1192.8,449.4,1641.1,,,"Big aggs went to Pa/Th; Jelly goo (salmon colored) on outside; Realized at the end of P2 that the Qp -> pTM Supors were 1 off -> 2 empty petri-slides left, but only one sample left. Based on the distribution on the 25 mm Supors, guess that we rinsed P3 and P2 onto the same Supor. This is labelled as GT13120Qp-possibly 13120+13121. Attempted to re-rinse the archive 2/16 from 13120Qp and 13121Qp. These had already been sitting in laminar flow so partly dried and hard to rinse but got them off. Pretty sure this was the mistake;†",,,,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,15,10,599,42,-152,5103,449.4,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
13122,10,S,1,1,4,6627,42,-152,5103,10/8/18 4:38,10/8/18 4:38,1000,998.1188119,1.125,0,1158.9,419.4,1641.1,,,Big aggs filter wedge went to Archive,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,6,1,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,6,1,1,1,1,6,1,3,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,3,1,1,1,1,1,15,10,998,42,-152,5103,419.4,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
13162,10,D,8,1,8,6634,42,-152,5100,10/8/18 21:28,10/8/18 21:28,1240,1220.8,0.479,"O2 min, P16 calcite saturation min, NO3 max",833.6,274.6,1134.9,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,6,1,6,1,1,1,6,1,6,6,6,1,1,1,1,1,6,6,6,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,6,1,1,1,1,6,1,3,6,1,1,6,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,6,6,6,3,3,1,1,1,1,15,10,1221,42,-152,5100,274.6,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,6,1,1,1,1,1,1,6,6
13163,10,D,7,1,8,6634,42,-152,5100,10/8/18 21:28,10/8/18 21:28,1750,1731.8,0.479,particle feature 1700-2300m; lowest 14C 1700-3000m,1.1,0,0.1,stopped by user,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
